"Winning_team","Losing_team","Winning","Losing"
"Detroit Pistons","Denver Nuggets",110,108
"Phoenix Suns","Los Angeles Lakers",115,105
"Charlotte Hornets","Philadelphia 76ers",107,101
"Cleveland Cavaliers","Portland Trail Blazers",114,96
"Minnesota Timberwolves","Indiana Pacers",115,101
"Atlanta Hawks","Sacramento Kings",115,106
"Boston Celtics","Dallas Mavericks",125,112
"Miami Heat","Washington Wizards",113,105
"Brooklyn Nets","Toronto Raptors",112,98
"Chicago Bulls","Milwaukee Bucks",118,113
"Denver Nuggets","Oklahoma City Thunder",131,126
"New Orleans Pelicans","San Antonio Spurs",129,110
"Detroit Pistons","Utah Jazz",125,116
"Golden State Warriors","Los Angeles Clippers",124,107
"Charlotte Hornets","Minnesota Timberwolves",110,108
"Philadelphia 76ers","Orlando Magic",107,99
"Portland Trail Blazers","New York Knicks",132,129
"Boston Celtics","Sacramento Kings",122,104
"Houston Rockets","Atlanta Hawks",128,122
"Indiana Pacers","Brooklyn Nets",128,117
"Memphis Grizzlies","New Orleans Pelicans",132,111
"Miami Heat","Washington Wizards",110,107
"Milwaukee Bucks","Cleveland Cavaliers",117,102
"Oklahoma City Thunder","Chicago Bulls",123,119
"Los Angeles Lakers","San Antonio Spurs",105,94
"Phoenix Suns","Detroit Pistons",108,102
"Golden State Warriors","Utah Jazz",129,118
"Denver Nuggets","Los Angeles Clippers",114,104
"Toronto Raptors","Dallas Mavericks",105,100
"Houston Rockets","Oklahoma City Thunder",118,105
"Los Angeles Lakers","San Antonio Spurs",143,138
"Phoenix Suns","Utah Jazz",113,112
"Brooklyn Nets","Portland Trail Blazers",111,97
"Golden State Warriors","Minnesota Timberwolves",137,114
"Los Angeles Clippers","Indiana Pacers",114,100
"Miami Heat","Atlanta Hawks",106,98
"Boston Celtics","Washington Wizards",130,121
"Cleveland Cavaliers","Detroit Pistons",102,94
"Memphis Grizzlies","New York Knicks",127,123
"Philadelphia 76ers","Orlando Magic",133,103
"Milwaukee Bucks","Dallas Mavericks",124,115
"Philadelphia 76ers","Atlanta Hawks",104,101
"Washington Wizards","Minnesota Timberwolves",142,127
"Boston Celtics","Charlotte Hornets",140,105
"Brooklyn Nets","Orlando Magic",109,102
"Toronto Raptors","Cleveland Cavaliers",100,88
"New Orleans Pelicans","Oklahoma City Thunder",105,101
"Denver Nuggets","Houston Rockets",129,113
"Chicago Bulls","Utah Jazz",114,107
"Phoenix Suns","Sacramento Kings",122,117
"Indiana Pacers","Los Angeles Lakers",116,115
"New York Knicks","Detroit Pistons",140,110
"Dallas Mavericks","Golden State Warriors",116,113
"Los Angeles Clippers","Portland Trail Blazers",118,112
"Cleveland Cavaliers","Philadelphia 76ers",113,85
"Atlanta Hawks","Orlando Magic",125,108
"Boston Celtics","Miami Heat",134,121
"Brooklyn Nets","Washington Wizards",113,107
"Milwaukee Bucks","New York Knicks",109,103
"Minnesota Timberwolves","Memphis Grizzlies",109,101
"New Orleans Pelicans","Toronto Raptors",126,108
"Oklahoma City Thunder","San Antonio Spurs",119,111
"Denver Nuggets","Houston Rockets",120,100
"Phoenix Suns","Chicago Bulls",132,113
"Utah Jazz","Los Angeles Clippers",125,112
"Sacramento Kings","Indiana Pacers",137,114
"Los Angeles Lakers","Portland Trail Blazers",128,109
"Detroit Pistons","Dallas Mavericks",131,125
"Charlotte Hornets","Washington Wizards",117,116
"Atlanta Hawks","Denver Nuggets",117,109
"Miami Heat","Boston Celtics",120,116
"Brooklyn Nets","Toronto Raptors",114,105
"Cleveland Cavaliers","Orlando Magic",107,96
"Los Angeles Lakers","Milwaukee Bucks",133,129
